Rk,Player,3PA,3P%,PTS
1,Stephen Curry,11.7,0.38,25.5
2,Fred VanVleet,9.9,0.377,20.3
3,Donovan Mitchell,9.8,0.355,25.9
4,Luka Dončić,8.8,0.353,28.4
5,Buddy Hield,8.8,0.366,15.6
6,Jayson Tatum,8.6,0.353,26.9
7,Anthony Edwards,8.4,0.357,21.3
8,Malik Beasley,8.1,0.377,12.1
9,Terry Rozier,8.1,0.374,19.3
10,D'Angelo Russell,8,0.34,18.1
11,Trae Young,8,0.382,28.4
12,Duncan Robinson,7.9,0.372,10.9
13,Gary Trent Jr.,7.8,0.383,18.3
14,Evan Fournier,7.7,0.389,14.1
15,Jordan Clarkson,7.6,0.318,16
16,CJ McCollum,7.6,0.388,22.1
17,Jordan Poole,7.6,0.364,18.5
18,LaMelo Ball,7.5,0.389,20.1
19,Saddiq Bey,7.4,0.346,16.1
20,Devonte' Graham,7.4,0.341,11.9
21,Bogdan Bogdanović,7.3,0.368,15.1
22,Kelly Oubre Jr.,7.3,0.345,15
23,Zach LaVine,7.1,0.389,24.4
24,Devin Booker,7,0.383,26.8
25,Jaylen Brown,7,0.358,23.6
26,Patty Mills,7,0.4,11.4
27,Desmond Bane,6.9,0.436,18.2
28,James Harden,6.9,0.33,22
29,Bojan Bogdanović,6.8,0.387,18.1
30,Jalen Green,6.8,0.343,17.3
31,Reggie Jackson,6.8,0.326,16.8
32,Kevin Porter Jr.,6.8,0.375,15.6
33,Darius Garland,6.7,0.383,21.7
34,Tyler Herro,6.7,0.399,20.7
35,Khris Middleton,6.6,0.373,20.1
36,Justin Holiday,6.5,0.367,10.1
37,Ben McLemore,6.5,0.362,10.2
38,Max Strus,6.5,0.41,10.6
39,Kevin Love,6.4,0.392,13.6
40,Lauri Markkanen,6.2,0.358,14.8
41,Will Barton,6.1,0.365,14.7
42,Kyle Lowry,6.1,0.377,13.4
43,Cole Anthony,6,0.338,16.3
44,Luke Kennard,6,0.449,11.9
45,Grayson Allen,5.9,0.409,11.1
46,Cameron Johnson,5.9,0.425,12.5
47,Garrison Mathews,5.9,0.36,10
48,Carmelo Anthony,5.8,0.375,13.3
49,RJ Barrett,5.8,0.342,20
50,Miles Bridges,5.8,0.331,20.2
51,Reggie Bullock,5.8,0.36,8.6
52,Mike Conley,5.8,0.408,13.7
53,Seth Curry,5.8,0.422,15
54,Malik Monk,5.8,0.391,13.8
55,Coby White,5.8,0.385,12.7
56,Pat Connaughton,5.7,0.395,9.9
57,Cade Cunningham,5.7,0.314,17.4
58,Kyle Kuzma,5.7,0.341,17.1
59,Kevin Huerter,5.6,0.389,12.1
60,Andrew Wiggins,5.5,0.393,17.2
61,Jae Crowder,5.4,0.348,9.4
62,Dorian Finney-Smith,5.4,0.395,11
63,Cedi Osman,5.4,0.357,10.7
64,Julius Randle,5.4,0.308,20.1
65,Devin Vassell,5.4,0.361,12.3
66,Kentavious Caldwell-Pope,5.3,0.39,13.2
67,Keldon Johnson,5.3,0.398,17
68,Chuma Okeke,5.3,0.318,8.6
69,Nickeil Alexander-Walker,5.2,0.311,10.6
70,Bones Hyland,5.2,0.366,10.1
71,Tyrese Haliburton,5.1,0.414,15.3
72,Jaren Jackson Jr.,5.1,0.319,16.3
73,De'Anthony Melton,5.1,0.374,10.8
74,Georges Niang,5.1,0.403,9.2
75,Immanuel Quickley,5.1,0.346,11.3
76,Marcus Smart,5.1,0.331,12.1
77,Gary Harris,5,0.384,11.1
78,Lonnie Walker IV,5,0.314,12.1
79,Spencer Dinwiddie,4.9,0.339,13.7
80,Karl-Anthony Towns,4.9,0.41,24.6
81,Derrick White,4.9,0.312,13.2
82,Christian Wood,4.9,0.39,17.9
83,Alec Burks,4.8,0.404,11.7
84,Robert Covington,4.8,0.378,8.5
85,Jrue Holiday,4.8,0.411,18.3
86,Landry Shamet,4.8,0.368,8.3
87,Gabe Vincent,4.8,0.368,8.7
88,Harrison Barnes,4.7,0.394,16.4
89,Bobby Portis,4.7,0.393,14.6
90,Nicolas Batum,4.6,0.4,8.3
91,P.J. Washington,4.6,0.365,10.3
92,Danilo Gallinari,4.5,0.381,11.7
93,Tre Mann,4.5,0.36,10.4
94,Nikola Vučević,4.5,0.314,17.6
95,Danny Green,4.4,0.38,5.9
96,Caris LeVert,4.4,0.32,17
97,Maxi Kleber,4.3,0.325,7
98,Davion Mitchell,4.3,0.316,11.5
99,Dejounte Murray,4.3,0.327,21.1
100,Patrick Beverley,4.2,0.343,9.2
101,De'Aaron Fox,4.2,0.297,23.2
102,Corey Kispert,4.2,0.35,8.2
103,Monte Morris,4.2,0.395,12.6
104,Terrence Ross,4.2,0.292,10
105,Tyrese Maxey,4.1,0.427,17.5
106,Mo Bamba,4,0.381,10.6
107,Furkan Korkmaz,4,0.289,7.6
108,Royce O'Neale,4,0.389,7.4
109,Darius Bazley,3.9,0.297,10.8
110,Bryn Forbes,3.9,0.414,8.8
111,Nikola Jokić,3.9,0.337,27.1
112,Dennis Schröder,3.9,0.344,13.5
113,Ziaire Williams,3.9,0.314,8.1
114,Mikal Bridges,3.8,0.369,14.2
115,Tobias Harris,3.8,0.367,17.2
116,Al Horford,3.8,0.336,10.2
117,Josh Richardson,3.8,0.415,10.2
118,Amir Coffey,3.7,0.378,9
119,Joel Embiid,3.7,0.371,30.6
120,Jordan Nwora,3.7,0.348,7.9
121,Giannis Antetokounmpo,3.6,0.293,29.9
122,Jaden McDaniels,3.6,0.317,9.2
123,Cameron Payne,3.6,0.336,10.8
124,Oshae Brissett,3.5,0.35,9.1
125,Wendell Carter Jr.,3.5,0.327,15
126,Aaron Gordon,3.5,0.335,15
127,Payton Pritchard,3.5,0.412,6.2
128,Avery Bradley,3.4,0.39,6.4
129,Otto Porter Jr.,3.4,0.37,8.2
130,Austin Rivers,3.4,0.342,6
131,Franz Wagner,3.4,0.354,15.2
132,Russell Westbrook,3.4,0.298,18.5
133,Grant Williams,3.4,0.411,7.8
134,Taurean Prince,3.3,0.376,7.3
135,Deni Avdija,3.2,0.317,8.4
136,Jalen Brunson,3.2,0.373,16.3
137,Aleksej Pokusevski,3.2,0.289,7.6
138,Pascal Siakam,3.2,0.344,22.8
139,Moritz Wagner,3.2,0.328,9
140,Chimezie Metu,3.1,0.306,8.9
141,Chris Paul,3.1,0.317,14.7
142,Garrett Temple,3.1,0.319,5.2
143,Facundo Campazzo,3,0.301,5.1
144,Torrey Craig,3,0.329,6.6
145,Talen Horton-Tucker,3,0.269,10
146,Damion Lee,3,0.337,7.4
147,Trey Murphy III,3,0.382,5.4
148,Chris Boucher,2.9,0.297,9.4
149,R.J. Hampton,2.9,0.35,7.6
150,Tyus Jones,2.8,0.39,8.7
151,Trey Lyles,2.8,0.321,10.5
152,Austin Reaves,2.7,0.317,7.3
153,P.J. Tucker,2.7,0.415,7.6
154,Scottie Barnes,2.6,0.301,15.3
155,Jevon Carter,2.6,0.388,4.2
156,Josh Christopher,2.6,0.296,7.9
157,Terance Mann,2.6,0.365,10.8
158,Caleb Martin,2.6,0.413,9.2
159,Jaylen Nowell,2.6,0.394,8.5
160,Jae'Sean Tate,2.6,0.312,11.8
161,Cam Thomas,2.6,0.27,8.5
162,Killian Hayes,2.5,0.263,6.9
163,Ayo Dosunmu,2.4,0.376,8.8
164,Cory Joseph,2.4,0.414,8
165,Isaac Okoro,2.3,0.35,8.8
166,Obi Toppin,2.3,0.308,9
167,CJ Elleby,2.2,0.294,5.8
168,Jeff Green,2.2,0.315,10.3
169,Herbert Jones,2.2,0.337,9.5
170,Cody Martin,2.2,0.384,7.7
171,Naz Reid,2.2,0.343,8.3
172,Matisse Thybulle,2.2,0.313,5.7
173,Precious Achiuwa,2.1,0.359,9.1
174,Nemanja Bjelica,2.1,0.362,6.1
175,Jonathan Kuminga,2.1,0.336,9.3
176,Kenyon Martin Jr.,2.1,0.357,8.8
177,Jonas Valančiūnas,2.1,0.361,17.8
178,Troy Brown Jr.,2,0.353,4.3
179,Domantas Sabonis,2,0.312,18.9
180,DeMar DeRozan,1.9,0.352,27.9
181,JaMychal Green,1.9,0.266,6.4
182,Frank Ntilikina,1.9,0.342,4.1
183,Eric Paschall,1.9,0.37,5.8
184,John Konchar,1.8,0.413,4.8
185,Raul Neto,1.7,0.292,7.5
186,Gary Payton II,1.7,0.358,7.1
187,Kyle Anderson,1.6,0.33,7.6
188,Hamidou Diallo,1.6,0.247,11
189,Javonte Green,1.6,0.356,7.2
190,Aaron Holiday,1.6,0.379,6.3
191,Alperen Şengün,1.6,0.248,9.6
192,Delon Wright,1.5,0.379,4.4
193,James Johnson,1.4,0.271,5.5
194,Jordan McLaughlin,1.4,0.318,3.8
195,Bruce Brown,1.3,0.404,9
196,Evan Mobley,1.3,0.25,15
197,Josh Green,1.2,0.359,4.8
198,Juan Toscano-Anderson,1.2,0.322,4.1
199,Ish Smith,1,0.373,6.3
200,Lamar Stevens,1,0.277,6.1
