Player,ThreesMade
Stephen Curry,4.5
Fred VanVleet,3.7
Donovan Mitchell,3.5
Buddy Hield,3.2
Luka Dončić,3.1
Trae Young,3.1
Desmond Bane,3
Malik Beasley,3
Anthony Edwards,3
Evan Fournier,3
Terry Rozier,3
Jayson Tatum,3
Gary Trent Jr.,3
LaMelo Ball,2.9
CJ McCollum,2.9
Duncan Robinson,2.9
Zach LaVine,2.8
Patty Mills,2.8
Jordan Poole,2.8
Bogdan Bogdanović,2.7
Devin Booker,2.7
Tyler Herro,2.7
Luke Kennard,2.7
D'Angelo Russell,2.7
Max Strus,2.7
Saddiq Bey,2.6
Bojan Bogdanović,2.6
Darius Garland,2.6
Jaylen Brown,2.5
Seth Curry,2.5
Devonte' Graham,2.5
Cameron Johnson,2.5
Kevin Love,2.5
Khris Middleton,2.5
Kelly Oubre Jr.,2.5
Kevin Porter Jr.,2.5
Grayson Allen,2.4
Jordan Clarkson,2.4
Justin Holiday,2.4
Ben McLemore,2.4
Mike Conley,2.3
Jalen Green,2.3
James Harden,2.3
Kyle Lowry,2.3
Malik Monk,2.3
Carmelo Anthony,2.2
Will Barton,2.2
Pat Connaughton,2.2
Dorian Finney-Smith,2.2
Kevin Huerter,2.2
Reggie Jackson,2.2
Lauri Markkanen,2.2
Coby White,2.2
Andrew Wiggins,2.2
Reggie Bullock,2.1
Kentavious Caldwell-Pope,2.1
Tyrese Haliburton,2.1
Keldon Johnson,2.1
Garrison Mathews,2.1
Georges Niang,2.1
Cole Anthony,2
RJ Barrett,2
Jrue Holiday,2
Karl-Anthony Towns,2
Miles Bridges,1.9
Alec Burks,1.9
Jae Crowder,1.9
Gary Harris,1.9
Bones Hyland,1.9
Kyle Kuzma,1.9
De'Anthony Melton,1.9
Cedi Osman,1.9
Devin Vassell,1.9
Christian Wood,1.9
Harrison Barnes,1.8
Nicolas Batum,1.8
Robert Covington,1.8
Cade Cunningham,1.8
Tyrese Maxey,1.8
Bobby Portis,1.8
Immanuel Quickley,1.8
Landry Shamet,1.8
Gabe Vincent,1.8
Spencer Dinwiddie,1.7
Danilo Gallinari,1.7
Danny Green,1.7
Monte Morris,1.7
Chuma Okeke,1.7
Julius Randle,1.7
Marcus Smart,1.7
P.J. Washington,1.7
Nickeil Alexander-Walker,1.6
Bryn Forbes,1.6
Jaren Jackson Jr.,1.6
Tre Mann,1.6
Josh Richardson,1.6
Lonnie Walker IV,1.6
Mo Bamba,1.5
Corey Kispert,1.5
Royce O'Neale,1.5
Derrick White,1.5
Patrick Beverley,1.4
Mikal Bridges,1.4
Amir Coffey,1.4
Joel Embiid,1.4
Tobias Harris,1.4
Maxi Kleber,1.4
Caris LeVert,1.4
Dejounte Murray,1.4
Payton Pritchard,1.4
Nikola Vučević,1.4
Grant Williams,1.4
Avery Bradley,1.3
De'Aaron Fox,1.3
Al Horford,1.3
Nikola Jokić,1.3
Davion Mitchell,1.3
Jordan Nwora,1.3
Otto Porter Jr.,1.3
Dennis Schröder,1.3
Darius Bazley,1.2
Oshae Brissett,1.2
Jalen Brunson,1.2
Aaron Gordon,1.2
Cameron Payne,1.2
Taurean Prince,1.2
Austin Rivers,1.2
Terrence Ross,1.2
Franz Wagner,1.2
Ziaire Williams,1.2
Giannis Antetokounmpo,1.1
Wendell Carter Jr.,1.1
Tyus Jones,1.1
Furkan Korkmaz,1.1
Caleb Martin,1.1
Jaden McDaniels,1.1
Trey Murphy III,1.1
Pascal Siakam,1.1
P.J. Tucker,1.1
Deni Avdija,1
Jevon Carter,1
Torrey Craig,1
R.J. Hampton,1
Cory Joseph,1
Damion Lee,1
Chimezie Metu,1
Jaylen Nowell,1
Chris Paul,1
Garrett Temple,1
Moritz Wagner,1
Russell Westbrook,1