Rk,Player,ThreesMade,ThreesAttempt,ThreePointPer,PPG
1,Stephen Curry,4.5,11.7,0.38,25.5
2,Fred VanVleet,3.7,9.9,0.377,20.3
3,Donovan Mitchell,3.5,9.8,0.355,25.9
4,Buddy Hield,3.2,8.8,0.366,15.6
5,Luka Dončić,3.1,8.8,0.353,28.4
6,Trae Young,3.1,8,0.382,28.4
7,Desmond Bane,3,6.9,0.436,18.2
8,Malik Beasley,3,8.1,0.377,12.1
9,Anthony Edwards,3,8.4,0.357,21.3
10,Evan Fournier,3,7.7,0.389,14.1
11,Terry Rozier,3,8.1,0.374,19.3
12,Jayson Tatum,3,8.6,0.353,26.9
13,Gary Trent Jr.,3,7.8,0.383,18.3
14,LaMelo Ball,2.9,7.5,0.389,20.1
15,CJ McCollum,2.9,7.6,0.388,22.1
16,Duncan Robinson,2.9,7.9,0.372,10.9
17,Zach LaVine,2.8,7.1,0.389,24.4
18,Patty Mills,2.8,7,0.4,11.4
19,Jordan Poole,2.8,7.6,0.364,18.5
20,Bogdan Bogdanović,2.7,7.3,0.368,15.1
21,Devin Booker,2.7,7,0.383,26.8
22,Tyler Herro,2.7,6.7,0.399,20.7
23,Luke Kennard,2.7,6,0.449,11.9
24,D'Angelo Russell,2.7,8,0.34,18.1
25,Max Strus,2.7,6.5,0.41,10.6
26,Saddiq Bey,2.6,7.4,0.346,16.1
27,Bojan Bogdanović,2.6,6.8,0.387,18.1
28,Darius Garland,2.6,6.7,0.383,21.7
29,Jaylen Brown,2.5,7,0.358,23.6
30,Seth Curry,2.5,5.8,0.422,15
31,Devonte' Graham,2.5,7.4,0.341,11.9
32,Cameron Johnson,2.5,5.9,0.425,12.5
33,Kevin Love,2.5,6.4,0.392,13.6
34,Khris Middleton,2.5,6.6,0.373,20.1
35,Kelly Oubre Jr.,2.5,7.3,0.345,15
36,Kevin Porter Jr.,2.5,6.8,0.375,15.6
37,Grayson Allen,2.4,5.9,0.409,11.1
38,Jordan Clarkson,2.4,7.6,0.318,16
39,Justin Holiday,2.4,6.5,0.367,10.1
40,Ben McLemore,2.4,6.5,0.362,10.2
41,Mike Conley,2.3,5.8,0.408,13.7
42,Jalen Green,2.3,6.8,0.343,17.3
43,James Harden,2.3,6.9,0.33,22
44,Kyle Lowry,2.3,6.1,0.377,13.4
45,Malik Monk,2.3,5.8,0.391,13.8
46,Carmelo Anthony,2.2,5.8,0.375,13.3
47,Will Barton,2.2,6.1,0.365,14.7
48,Pat Connaughton,2.2,5.7,0.395,9.9
49,Dorian Finney-Smith,2.2,5.4,0.395,11
50,Kevin Huerter,2.2,5.6,0.389,12.1
51,Reggie Jackson,2.2,6.8,0.326,16.8
52,Lauri Markkanen,2.2,6.2,0.358,14.8
53,Coby White,2.2,5.8,0.385,12.7
54,Andrew Wiggins,2.2,5.5,0.393,17.2
55,Reggie Bullock,2.1,5.8,0.36,8.6
56,Kentavious Caldwell-Pope,2.1,5.3,0.39,13.2
57,Tyrese Haliburton,2.1,5.1,0.414,15.3
58,Keldon Johnson,2.1,5.3,0.398,17
59,Garrison Mathews,2.1,5.9,0.36,10
60,Georges Niang,2.1,5.1,0.403,9.2
61,Cole Anthony,2,6,0.338,16.3
62,RJ Barrett,2,5.8,0.342,20
63,Jrue Holiday,2,4.8,0.411,18.3
64,Karl-Anthony Towns,2,4.9,0.41,24.6
65,Miles Bridges,1.9,5.8,0.331,20.2
66,Alec Burks,1.9,4.8,0.404,11.7
67,Jae Crowder,1.9,5.4,0.348,9.4
68,Gary Harris,1.9,5,0.384,11.1
69,Bones Hyland,1.9,5.2,0.366,10.1
70,Kyle Kuzma,1.9,5.7,0.341,17.1
71,De'Anthony Melton,1.9,5.1,0.374,10.8
72,Cedi Osman,1.9,5.4,0.357,10.7
73,Devin Vassell,1.9,5.4,0.361,12.3
74,Christian Wood,1.9,4.9,0.39,17.9
75,Harrison Barnes,1.8,4.7,0.394,16.4
76,Nicolas Batum,1.8,4.6,0.4,8.3
77,Robert Covington,1.8,4.8,0.378,8.5
78,Cade Cunningham,1.8,5.7,0.314,17.4
79,Tyrese Maxey,1.8,4.1,0.427,17.5
80,Bobby Portis,1.8,4.7,0.393,14.6
81,Immanuel Quickley,1.8,5.1,0.346,11.3
82,Landry Shamet,1.8,4.8,0.368,8.3
83,Gabe Vincent,1.8,4.8,0.368,8.7
84,Spencer Dinwiddie,1.7,4.9,0.339,13.7
85,Danilo Gallinari,1.7,4.5,0.381,11.7
86,Danny Green,1.7,4.4,0.38,5.9
87,Monte Morris,1.7,4.2,0.395,12.6
88,Chuma Okeke,1.7,5.3,0.318,8.6
89,Julius Randle,1.7,5.4,0.308,20.1
90,Marcus Smart,1.7,5.1,0.331,12.1
91,P.J. Washington,1.7,4.6,0.365,10.3
92,Nickeil Alexander-Walker,1.6,5.2,0.311,10.6
93,Bryn Forbes,1.6,3.9,0.414,8.8
94,Jaren Jackson Jr.,1.6,5.1,0.319,16.3
95,Tre Mann,1.6,4.5,0.36,10.4
96,Josh Richardson,1.6,3.8,0.415,10.2
97,Lonnie Walker IV,1.6,5,0.314,12.1
98,Mo Bamba,1.5,4,0.381,10.6
99,Corey Kispert,1.5,4.2,0.35,8.2
100,Royce O'Neale,1.5,4,0.389,7.4
101,Derrick White,1.5,4.9,0.312,13.2
102,Patrick Beverley,1.4,4.2,0.343,9.2
103,Mikal Bridges,1.4,3.8,0.369,14.2
104,Amir Coffey,1.4,3.7,0.378,9
105,Joel Embiid,1.4,3.7,0.371,30.6
106,Tobias Harris,1.4,3.8,0.367,17.2
107,Maxi Kleber,1.4,4.3,0.325,7
108,Caris LeVert,1.4,4.4,0.32,17
109,Dejounte Murray,1.4,4.3,0.327,21.1
110,Payton Pritchard,1.4,3.5,0.412,6.2
111,Nikola Vučević,1.4,4.5,0.314,17.6
112,Grant Williams,1.4,3.4,0.411,7.8
113,Avery Bradley,1.3,3.4,0.39,6.4
114,De'Aaron Fox,1.3,4.2,0.297,23.2
115,Al Horford,1.3,3.8,0.336,10.2
116,Nikola Jokić,1.3,3.9,0.337,27.1
117,Davion Mitchell,1.3,4.3,0.316,11.5
118,Jordan Nwora,1.3,3.7,0.348,7.9
119,Otto Porter Jr.,1.3,3.4,0.37,8.2
120,Dennis Schröder,1.3,3.9,0.344,13.5
121,Darius Bazley,1.2,3.9,0.297,10.8
122,Oshae Brissett,1.2,3.5,0.35,9.1
123,Jalen Brunson,1.2,3.2,0.373,16.3
124,Aaron Gordon,1.2,3.5,0.335,15
125,Cameron Payne,1.2,3.6,0.336,10.8
126,Taurean Prince,1.2,3.3,0.376,7.3
127,Austin Rivers,1.2,3.4,0.342,6
128,Terrence Ross,1.2,4.2,0.292,10
129,Franz Wagner,1.2,3.4,0.354,15.2
130,Ziaire Williams,1.2,3.9,0.314,8.1
131,Giannis Antetokounmpo,1.1,3.6,0.293,29.9
132,Wendell Carter Jr.,1.1,3.5,0.327,15
133,Tyus Jones,1.1,2.8,0.39,8.7
134,Furkan Korkmaz,1.1,4,0.289,7.6
135,Caleb Martin,1.1,2.6,0.413,9.2
136,Jaden McDaniels,1.1,3.6,0.317,9.2
137,Trey Murphy III,1.1,3,0.382,5.4
138,Pascal Siakam,1.1,3.2,0.344,22.8
139,P.J. Tucker,1.1,2.7,0.415,7.6
140,Deni Avdija,1,3.2,0.317,8.4
141,Jevon Carter,1,2.6,0.388,4.2
142,Torrey Craig,1,3,0.329,6.6
143,R.J. Hampton,1,2.9,0.35,7.6
144,Cory Joseph,1,2.4,0.414,8
145,Damion Lee,1,3,0.337,7.4
146,Chimezie Metu,1,3.1,0.306,8.9
147,Jaylen Nowell,1,2.6,0.394,8.5
148,Chris Paul,1,3.1,0.317,14.7
149,Garrett Temple,1,3.1,0.319,5.2
150,Moritz Wagner,1,3.2,0.328,9
151,Russell Westbrook,1,3.4,0.298,18.5